O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Occupation,Job Family
35-2021.00,Food Preparation Workers,1.75,4.26,2.23,1.0,1.39,6.47,6.0,2.5,0.0,Food Preparation Workers,Food Preparation and Serving Related
35-3011.00,Bartenders,2.39,4.39,3.79,1.0,1.0,4.98,6.0,3.53,5.0,Bartenders,Food Preparation and Serving Related
35-3023.00,Fast Food and Counter Workers,1.41,4.86,3.52,1.0,1.0,4.91,6.0,3.51,5.0,Fast Food and Counter Workers,Food Preparation and Serving Related
35-3023.01,Baristas,2.6,4.28,3.48,1.0,1.0,5.08,6.0,3.74,4.0,Baristas,Food Preparation and Serving Related
35-3031.00,Waiters and Waitresses,1.93,4.53,4.15,4.0,1.0,4.07,6.0,4.82,5.0,Waiters and Waitresses,Food Preparation and Serving Related
35-3041.00,"Food Servers, Nonrestaurant",2.06,3.91,2.79,1.0,1.41,5.02,4.0,4.13,6.0,"Food Servers, Nonrestaurant",Food Preparation and Serving Related
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1.02,4.6,2.27,1.0,1.0,5.61,6.0,3.67,4.0,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving Related
35-9021.00,Dishwashers,1.0,4.45,1.42,1.0,1.0,6.98,6.0,1.84,0.0,Dishwashers,Food Preparation and Serving Related
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.78,3.84,4.19,4.0,1.0,3.35,5.0,5.2,6.0,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Related
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,1.0,5.14,5.72,5.0,1.18,4.25,6.0,3.55,1.0,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.03,5.21,6.11,5.0,1.78,4.5,6.0,2.99,1.0,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.0,4.52,1.6,1.0,1.09,6.76,6.0,2.08,0.0,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance
37-2012.00,Maids and Housekeeping Cleaners,1.41,4.56,1.57,1.0,1.0,6.05,6.0,2.48,0.0,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance
37-2021.00,Pest Control Workers,1.0,4.18,2.33,1.0,3.1,6.54,6.0,1.8,0.0,Pest Control Workers,Building and Grounds Cleaning and Maintenance
37-3011.00,Landscaping and Groundskeeping Workers,1.9,3.34,1.8,1.0,1.62,7.0,6.0,1.45,0.0,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1.06,3.58,1.52,1.0,2.84,6.37,6.0,1.93,0.0,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Building and Grounds Cleaning and Maintenance
37-3013.00,Tree Trimmers and Pruners,1.0,3.09,1.26,1.0,2.15,7.0,6.0,1.78,0.0,Tree Trimmers and Pruners,Building and Grounds Cleaning and Maintenance
39-1013.00,First-Line Supervisors of Gambling Services Workers,1.0,5.5,5.93,5.0,1.0,3.7,6.0,3.02,1.0,First-Line Supervisors of Gambling Services Workers,Personal Care and Service
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",1.79,4.73,7.0,5.0,1.02,2.91,6.0,4.38,4.0,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Personal Care and Service
39-1022.00,First-Line Supervisors of Personal Service Workers,1.29,4.98,6.75,5.0,1.08,3.37,6.0,4.02,4.0,First-Line Supervisors of Personal Service Workers,Personal Care and Service
39-2011.00,Animal Trainers,1.77,3.01,2.15,1.0,2.25,6.45,4.0,3.6,0.0,Animal Trainers,Personal Care and Service
39-2021.00,Animal Caretakers,1.63,3.24,1.52,1.0,2.76,6.17,4.0,3.75,6.0,Animal Caretakers,Personal Care and Service
39-3011.00,Gambling Dealers,1.06,5.47,5.23,6.0,1.0,3.69,5.0,2.17,1.0,Gambling Dealers,Personal Care and Service
39-3012.00,Gambling and Sports Book Writers and Runners,1.02,5.97,4.99,6.0,1.0,2.78,5.0,2.92,0.0,Gambling and Sports Book Writers and Runners,Personal Care and Service
39-3021.00,Motion Picture Projectionists,2.98,4.58,2.08,1.0,1.95,5.42,6.0,2.02,0.0,Motion Picture Projectionists,Personal Care and Service
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",1.39,4.61,4.18,4.0,1.0,3.34,6.0,4.75,5.0,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service
39-3091.00,Amusement and Recreation Attendants,1.74,4.6,3.95,6.0,1.0,4.16,4.0,4.38,1.0,Amusement and Recreation Attendants,Personal Care and Service
39-3092.00,Costume Attendants,5.89,3.85,3.07,3.0,1.0,3.57,6.0,3.45,1.0,Costume Attendants,Personal Care and Service
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",1.61,5.4,2.3,6.0,1.0,4.36,1.0,4.1,4.0,"Locker Room, Coatroom, and Dressing Room Attendants",Personal Care and Service
39-4011.00,Embalmers,1.69,3.74,2.65,1.0,2.5,5.84,6.0,3.43,4.0,Embalmers,Personal Care and Service
39-4012.00,Crematory Operators,1.46,4.36,1.49,1.0,2.11,5.96,6.0,2.73,0.0,Crematory Operators,Personal Care and Service
39-4021.00,Funeral Attendants,2.02,4.15,3.32,1.0,1.01,4.65,4.0,4.17,6.0,Funeral Attendants,Personal Care and Service
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",1.58,4.91,4.59,6.0,1.39,3.74,5.0,4.3,4.0,"Morticians, Undertakers, and Funeral Arrangers",Personal Care and Service
39-5011.00,Barbers,2.72,3.9,3.62,1.0,1.0,5.36,6.0,3.61,5.0,Barbers,Personal Care and Service
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.23,3.94,3.25,1.0,1.53,5.41,6.0,3.71,4.0,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service
39-5091.00,"Makeup Artists, Theatrical and Performance",6.84,2.69,2.96,3.0,1.49,4.39,1.0,3.04,0.0,"Makeup Artists, Theatrical and Performance",Personal Care and Service
39-5092.00,Manicurists and Pedicurists,2.3,3.68,2.29,1.0,1.32,5.72,6.0,2.96,0.0,Manicurists and Pedicurists,Personal Care and Service
39-5093.00,Shampooers,1.56,3.37,2.47,1.0,1.35,5.53,4.0,3.75,6.0,Shampooers,Personal Care and Service
39-5094.00,Skincare Specialists,2.92,3.15,3.01,1.0,2.06,5.8,4.0,4.06,0.0,Skincare Specialists,Personal Care and Service
39-6011.00,Baggage Porters and Bellhops,1.0,4.77,2.67,1.0,1.0,4.87,6.0,3.56,4.0,Baggage Porters and Bellhops,Personal Care and Service
39-6012.00,Concierges,2.18,4.45,4.64,4.0,1.0,2.65,5.0,5.34,6.0,Concierges,Personal Care and Service
39-7011.00,Tour Guides and Escorts,3.3,2.99,3.68,4.0,2.38,3.35,5.0,5.14,0.0,Tour Guides and Escorts,Personal Care and Service
39-7012.00,Travel Guides,2.41,4.12,4.45,4.0,2.49,2.7,5.0,4.91,6.0,Travel Guides,Personal Care and Service
39-9011.00,Childcare Workers,3.52,3.61,2.92,4.0,1.3,3.35,6.0,5.94,3.0,Childcare Workers,Personal Care and Service
39-9011.01,Nannies,3.8,3.29,2.8,4.0,2.05,2.97,3.0,6.1,0.0,Nannies,Personal Care and Service
39-9031.00,Exercise Trainers and Group Fitness Instructors,2.6,2.75,3.4,4.0,2.86,4.98,1.0,5.65,0.0,Exercise Trainers and Group Fitness Instructors,Personal Care and Service
39-9032.00,Recreation Workers,3.05,3.45,4.51,4.0,1.98,3.75,5.0,4.9,1.0,Recreation Workers,Personal Care and Service
39-9041.00,Residential Advisors,2.29,4.53,3.77,4.0,2.46,2.63,6.0,5.45,5.0,Residential Advisors,Personal Care and Service
41-1011.00,First-Line Supervisors of Retail Sales Workers,1.0,5.54,7.0,5.0,1.12,2.75,6.0,3.74,4.0,First-Line Supervisors of Retail Sales Workers,Sales and Related
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,1.0,5.33,7.0,5.0,1.03,1.9,6.0,4.05,4.0,First-Line Supervisors of Non-Retail Sales Workers,Sales and Related
41-2011.00,Cashiers,1.0,6.06,3.66,6.0,1.02,2.8,5.0,2.73,0.0,Cashiers,Sales and Related
41-2012.00,Gambling Change Persons and Booth Cashiers,1.07,6.48,4.22,6.0,1.0,2.96,5.0,2.47,0.0,Gambling Change Persons and Booth Cashiers,Sales and Related
41-2021.00,Counter and Rental Clerks,1.21,6.08,3.69,6.0,1.0,3.12,5.0,3.27,4.0,Counter and Rental Clerks,Sales and Related
41-2022.00,Parts Salespersons,1.0,5.46,4.0,6.0,1.35,5.31,1.0,2.11,5.0,Parts Salespersons,Sales and Related
41-2031.00,Retail Salespersons,2.09,5.04,6.08,5.0,1.0,3.3,6.0,2.98,0.0,Retail Salespersons,Sales and Related
41-3011.00,Advertising Sales Agents,3.54,4.73,6.71,5.0,1.47,1.06,6.0,2.89,3.0,Advertising Sales Agents,Sales and Related
41-3021.00,Insurance Sales Agents,1.18,5.3,5.84,5.0,2.29,1.1,6.0,3.69,4.0,Insurance Sales Agents,Sales and Related
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",1.29,5.27,6.08,5.0,2.53,1.25,6.0,3.08,0.0,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related
41-3041.00,Travel Agents,1.93,5.72,5.77,5.0,1.48,1.23,6.0,4.32,4.0,Travel Agents,Sales and Related
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1.44,5.09,6.71,5.0,1.94,1.09,6.0,3.73,4.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.51,5.03,5.39,5.0,3.15,2.84,6.0,2.98,0.0,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related
41-4011.07,Solar Sales Representatives and Assessors,1.39,4.43,5.56,5.0,2.73,3.52,6.0,2.75,1.0,Solar Sales Representatives and Assessors,Sales and Related
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.69,4.89,6.09,5.0,2.3,2.64,6.0,2.63,0.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related
41-9011.00,Demonstrators and Product Promoters,3.23,3.65,5.32,5.0,1.8,3.43,6.0,3.16,0.0,Demonstrators and Product Promoters,Sales and Related
41-9012.00,Models,7.0,2.04,3.64,3.0,1.0,4.8,1.0,2.71,5.0,Models,Sales and Related
41-9021.00,Real Estate Brokers,1.0,5.61,6.43,5.0,1.54,2.62,6.0,2.96,0.0,Real Estate Brokers,Sales and Related
41-9022.00,Real Estate Sales Agents,1.93,5.11,6.43,5.0,1.46,2.02,6.0,3.5,4.0,Real Estate Sales Agents,Sales and Related
41-9031.00,Sales Engineers,1.79,4.49,5.81,5.0,3.66,3.16,6.0,2.87,0.0,Sales Engineers,Sales and Related
41-9041.00,Telemarketers,1.39,5.09,5.19,5.0,1.19,1.86,6.0,3.62,4.0,Telemarketers,Sales and Related
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2.02,4.72,5.5,5.0,1.0,3.57,6.0,2.76,1.0,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1.0,5.68,6.96,5.0,1.35,1.61,6.0,4.33,4.0,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support
43-2011.00,"Switchboard Operators, Including Answering Service",1.0,5.96,3.18,6.0,1.39,3.6,1.0,2.91,5.0,"Switchboard Operators, Including Answering Service",Office and Administrative Support
43-2021.00,Telephone Operators,1.0,6.19,3.36,6.0,1.04,2.82,4.0,4.56,5.0,Telephone Operators,Office and Administrative Support
43-3011.00,Bill and Account Collectors,1.0,7.0,4.38,6.0,1.0,2.04,5.0,3.24,4.0,Bill and Account Collectors,Office and Administrative Support
43-3021.00,Billing and Posting Clerks,1.0,7.0,2.75,6.0,1.68,2.69,0.0,1.49,0.0,Billing and Posting Clerks,Office and Administrative Support
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",1.0,7.0,2.89,6.0,2.17,1.65,5.0,1.47,0.0,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support
43-3041.00,Gambling Cage Workers,1.0,5.97,4.63,6.0,1.0,2.83,5.0,2.85,0.0,Gambling Cage Workers,Office and Administrative Support
43-3051.00,Payroll and Timekeeping Clerks,1.0,7.0,3.4,6.0,1.0,1.58,5.0,2.05,0.0,Payroll and Timekeeping Clerks,Office and Administrative Support
43-3061.00,Procurement Clerks,1.0,7.0,4.31,6.0,1.63,3.01,5.0,1.66,0.0,Procurement Clerks,Office and Administrative Support
43-3071.00,Tellers,1.0,6.89,4.19,6.0,1.43,2.29,5.0,2.43,0.0,Tellers,Office and Administrative Support
43-4011.00,Brokerage Clerks,1.0,6.97,4.51,6.0,1.26,2.08,5.0,2.32,0.0,Brokerage Clerks,Office and Administrative Support
43-4021.00,Correspondence Clerks,1.62,6.74,3.39,6.0,2.47,1.27,5.0,2.74,0.0,Correspondence Clerks,Office and Administrative Support
43-4031.00,"Court, Municipal, and License Clerks",1.12,6.13,4.24,6.0,1.91,2.0,5.0,3.5,4.0,"Court, Municipal, and License Clerks",Office and Administrative Support
43-4041.00,"Credit Authorizers, Checkers, and Clerks",1.0,7.0,4.47,6.0,1.85,1.0,5.0,3.39,4.0,"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support
43-4051.00,Customer Service Representatives,1.0,6.16,5.11,6.0,1.62,2.05,5.0,3.84,4.0,Customer Service Representatives,Office and Administrative Support
43-4061.00,"Eligibility Interviewers, Government Programs",1.0,6.35,3.93,6.0,2.46,1.0,4.0,4.44,5.0,"Eligibility Interviewers, Government Programs",Office and Administrative Support
43-4071.00,File Clerks,1.15,7.0,1.66,6.0,1.38,2.53,0.0,1.92,0.0,File Clerks,Office and Administrative Support
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",1.33,5.71,3.81,6.0,1.0,2.62,4.0,4.48,5.0,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support
43-4111.00,"Interviewers, Except Eligibility and Loan",1.38,6.01,3.66,6.0,1.92,1.0,4.0,4.13,5.0,"Interviewers, Except Eligibility and Loan",Office and Administrative Support
43-4121.00,"Library Assistants, Clerical",1.3,6.89,2.19,6.0,2.01,2.91,4.0,3.78,0.0,"Library Assistants, Clerical",Office and Administrative Support
43-4131.00,Loan Interviewers and Clerks,1.0,6.93,4.61,6.0,2.16,1.0,5.0,3.4,4.0,Loan Interviewers and Clerks,Office and Administrative Support
43-4141.00,New Accounts Clerks,1.0,7.0,4.66,6.0,1.76,1.54,5.0,3.55,4.0,New Accounts Clerks,Office and Administrative Support
43-4151.00,Order Clerks,1.0,7.0,4.53,6.0,1.0,2.51,5.0,2.51,0.0,Order Clerks,Office and Administrative Support
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",1.0,7.0,3.86,6.0,1.36,1.49,5.0,3.22,4.0,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support
43-4171.00,Receptionists and Information Clerks,1.0,6.23,4.23,6.0,1.92,1.87,5.0,3.63,4.0,Receptionists and Information Clerks,Office and Administrative Support
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,1.27,5.66,4.02,6.0,1.0,2.12,4.0,4.36,5.0,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support
43-5011.00,Cargo and Freight Agents,1.0,6.33,4.82,6.0,1.5,3.14,5.0,2.14,0.0,Cargo and Freight Agents,Office and Administrative Support
43-5011.01,Freight Forwarders,1.0,5.75,3.92,6.0,2.43,3.34,5.0,1.89,1.0,Freight Forwarders,Office and Administrative Support
43-5021.00,Couriers and Messengers,1.0,5.46,2.74,6.0,1.17,4.25,1.0,3.06,4.0,Couriers and Messengers,Office and Administrative Support
43-5031.00,Public Safety Telecommunicators,1.0,5.54,2.9,6.0,2.88,4.25,1.0,3.6,4.0,Public Safety Telecommunicators,Office and Administrative Support
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",1.0,5.39,2.9,6.0,1.42,5.28,1.0,2.68,0.0,"Dispatchers, Except Police, Fire, and Ambulance",Office and Administrative Support
43-5041.00,"Meter Readers, Utilities",1.0,6.66,1.38,6.0,2.56,4.66,1.0,2.2,0.0,"Meter Readers, Utilities",Office and Administrative Support
43-5051.00,Postal Service Clerks,1.0,6.51,2.69,6.0,1.0,3.25,1.0,2.54,0.0,Postal Service Clerks,Office and Administrative Support
43-5052.00,Postal Service Mail Carriers,1.0,6.4,2.86,6.0,1.0,3.57,1.0,2.64,0.0,Postal Service Mail Carriers,Office and Administrative Support
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1.0,5.91,1.66,6.0,1.54,4.6,1.0,1.83,0.0,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support
43-5061.00,"Production, Planning, and Expediting Clerks",1.15,5.92,4.9,6.0,1.2,3.11,5.0,2.1,0.0,"Production, Planning, and Expediting Clerks",Office and Administrative Support
43-5071.00,"Shipping, Receiving, and Inventory Clerks",1.0,7.0,3.16,6.0,1.26,3.83,1.0,1.45,5.0,"Shipping, Receiving, and Inventory Clerks",Office and Administrative Support
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1.0,6.47,1.73,6.0,2.4,5.29,1.0,1.0,0.0,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support
43-6011.00,Executive Secretaries and Executive Administrative Assistants,1.38,6.39,5.56,6.0,1.9,1.26,5.0,3.98,4.0,Executive Secretaries and Executive Administrative Assistants,Office and Administrative Support
43-6012.00,Legal Secretaries and Administrative Assistants,1.59,6.61,4.28,6.0,3.16,1.52,5.0,3.01,0.0,Legal Secretaries and Administrative Assistants,Office and Administrative Support
43-6013.00,Medical Secretaries and Administrative Assistants,1.0,6.66,3.16,6.0,3.05,2.38,4.0,4.14,0.0,Medical Secretaries and Administrative Assistants,Office and Administrative Support
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.0,6.97,4.2,6.0,1.37,1.98,5.0,3.62,4.0,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support
43-9021.00,Data Entry Keyers,1.0,7.0,1.8,6.0,2.34,2.92,1.0,1.23,0.0,Data Entry Keyers,Office and Administrative Support
43-9022.00,Word Processors and Typists,2.22,6.6,1.92,6.0,1.93,2.87,0.0,2.27,0.0,Word Processors and Typists,Office and Administrative Support
43-9031.00,Desktop Publishers,4.7,5.32,1.87,6.0,2.75,3.36,3.0,1.79,0.0,Desktop Publishers,Office and Administrative Support
43-9041.00,Insurance Claims and Policy Processing Clerks,1.0,7.0,3.85,6.0,2.42,1.16,5.0,2.58,0.0,Insurance Claims and Policy Processing Clerks,Office and Administrative Support
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",1.0,6.35,2.17,6.0,1.0,3.99,1.0,2.03,0.0,"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support
43-9061.00,"Office Clerks, General",1.0,6.83,3.19,6.0,1.85,2.92,0.0,3.07,0.0,"Office Clerks, General",Office and Administrative Support
43-9071.00,"Office Machine Operators, Except Computer",1.21,6.71,1.97,6.0,2.06,4.53,1.0,1.64,0.0,"Office Machine Operators, Except Computer",Office and Administrative Support
43-9081.00,Proofreaders and Copy Markers,3.47,6.12,1.46,6.0,2.51,1.63,3.0,2.2,0.0,Proofreaders and Copy Markers,Office and Administrative Support
43-9111.00,Statistical Assistants,1.0,7.0,1.72,6.0,4.53,2.53,2.0,1.36,0.0,Statistical Assistants,Office and Administrative Support
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1.0,4.65,6.01,5.0,2.23,5.54,1.0,2.88,6.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry"
45-2011.00,Agricultural Inspectors,1.0,5.15,3.13,1.0,4.06,5.33,6.0,1.9,2.0,Agricultural Inspectors,"Farming, Fishing, and Forestry"
45-2021.00,Animal Breeders,1.43,3.58,2.07,1.0,3.24,6.47,6.0,2.35,0.0,Animal Breeders,"Farming, Fishing, and Forestry"
45-2041.00,"Graders and Sorters, Agricultural Products",1.66,4.99,2.14,1.0,2.4,5.64,6.0,1.53,0.0,"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry"
45-2091.00,Agricultural Equipment Operators,1.0,3.67,1.35,1.0,2.5,7.0,6.0,1.0,0.0,Agricultural Equipment Operators,"Farming, Fishing, and Forestry"
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1.29,3.35,2.37,1.0,2.32,7.0,6.0,1.85,0.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry"
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.42,2.95,1.92,1.0,2.66,6.78,0.0,2.5,0.0,"Farmworkers, Farm, Ranch, and Aquacultural Animals","Farming, Fishing, and Forestry"
45-3031.00,Fishing and Hunting Workers,1.0,3.49,1.88,1.0,2.24,7.0,6.0,1.03,0.0,Fishing and Hunting Workers,"Farming, Fishing, and Forestry"
45-4011.00,Forest and Conservation Workers,1.03,4.31,2.83,1.0,3.53,6.96,6.0,2.59,0.0,Forest and Conservation Workers,"Farming, Fishing, and Forestry"
45-4021.00,Fallers,1.13,3.32,1.57,1.0,2.48,7.0,6.0,1.92,0.0,Fallers,"Farming, Fishing, and Forestry"
45-4022.00,Logging Equipment Operators,1.0,4.4,1.09,1.0,1.82,6.84,6.0,1.1,0.0,Logging Equipment Operators,"Farming, Fishing, and Forestry"
45-4023.00,Log Graders and Scalers,1.0,6.31,1.76,6.0,2.37,4.98,1.0,1.1,0.0,Log Graders and Scalers,"Farming, Fishing, and Forestry"
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,1.0,4.98,5.89,5.0,1.99,4.97,6.0,2.81,1.0,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction
47-1011.03,Solar Energy Installation Managers,1.27,4.19,4.85,1.0,2.65,5.86,5.0,1.74,6.0,Solar Energy Installation Managers,Construction and Extraction
47-2011.00,Boilermakers,1.0,3.66,1.0,1.0,2.27,7.0,6.0,1.0,0.0,Boilermakers,Construction and Extraction
47-2021.00,Brickmasons and Blockmasons,1.64,3.95,1.24,1.0,2.06,6.84,6.0,1.16,0.0,Brickmasons and Blockmasons,Construction and Extraction
47-2022.00,Stonemasons,2.92,3.02,1.29,1.0,2.15,7.0,0.0,1.83,0.0,Stonemasons,Construction and Extraction
47-2031.00,Carpenters,2.19,3.46,1.79,1.0,1.9,6.74,6.0,1.9,0.0,Carpenters,Construction and Extraction
47-2041.00,Carpet Installers,1.72,3.71,1.0,1.0,1.34,7.0,6.0,1.3,0.0,Carpet Installers,Construction and Extraction
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",1.83,3.68,1.0,1.0,1.39,7.0,6.0,1.57,0.0,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Construction and Extraction
47-2043.00,Floor Sanders and Finishers,1.34,3.26,1.6,1.0,1.36,7.0,6.0,1.45,0.0,Floor Sanders and Finishers,Construction and Extraction
47-2044.00,Tile and Stone Setters,2.57,3.57,1.0,1.0,1.39,7.0,6.0,1.29,0.0,Tile and Stone Setters,Construction and Extraction
47-2051.00,Cement Masons and Concrete Finishers,1.68,3.25,1.0,1.0,2.28,7.0,6.0,1.0,0.0,Cement Masons and Concrete Finishers,Construction and Extraction
47-2053.00,Terrazzo Workers and Finishers,1.75,3.53,1.0,1.0,1.82,7.0,6.0,1.0,0.0,Terrazzo Workers and Finishers,Construction and Extraction
47-2061.00,Construction Laborers,1.38,3.61,1.35,1.0,2.68,7.0,6.0,1.23,0.0,Construction Laborers,Construction and Extraction
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",1.0,3.71,1.0,1.0,1.72,7.0,6.0,1.0,0.0,"Paving, Surfacing, and Tamping Equipment Operators",Construction and Extraction
47-2072.00,Pile Driver Operators,1.0,3.61,1.15,1.0,1.94,7.0,6.0,1.02,0.0,Pile Driver Operators,Construction and Extraction
47-2073.00,Operating Engineers and Other Construction Equipment Operators,1.0,3.88,1.25,1.0,2.93,7.0,6.0,1.14,2.0,Operating Engineers and Other Construction Equipment Operators,Construction and Extraction
47-2081.00,Drywall and Ceiling Tile Installers,2.3,3.12,1.0,1.0,1.95,7.0,6.0,1.18,0.0,Drywall and Ceiling Tile Installers,Construction and Extraction
47-2082.00,Tapers,1.72,3.51,1.09,1.0,1.69,6.39,6.0,1.49,0.0,Tapers,Construction and Extraction
47-2111.00,Electricians,1.28,4.22,1.85,1.0,2.67,7.0,6.0,1.26,0.0,Electricians,Construction and Extraction
47-2121.00,Glaziers,2.2,3.33,1.58,1.0,2.0,6.55,6.0,1.63,0.0,Glaziers,Construction and Extraction
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",1.25,3.77,1.0,1.0,1.66,7.0,6.0,1.0,0.0,"Insulation Workers, Floor, Ceiling, and Wall",Construction and Extraction
47-2132.00,"Insulation Workers, Mechanical",1.0,4.23,1.0,1.0,2.41,6.92,6.0,1.25,0.0,"Insulation Workers, Mechanical",Construction and Extraction
47-2141.00,"Painters, Construction and Maintenance",2.74,3.35,1.0,1.0,1.54,7.0,6.0,1.26,0.0,"Painters, Construction and Maintenance",Construction and Extraction
47-2142.00,Paperhangers,2.99,3.87,1.12,1.0,1.0,5.91,6.0,1.55,3.0,Paperhangers,Construction and Extraction
47-2151.00,Pipelayers,1.0,3.53,1.07,1.0,2.41,7.0,6.0,1.28,0.0,Pipelayers,Construction and Extraction
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",1.0,3.86,1.0,1.0,2.23,7.0,6.0,1.27,0.0,"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction
47-2152.04,Solar Thermal Installers and Technicians,1.13,3.66,1.6,1.0,2.69,7.0,6.0,1.7,0.0,Solar Thermal Installers and Technicians,Construction and Extraction
47-2161.00,Plasterers and Stucco Masons,2.43,3.36,1.11,1.0,1.48,7.0,6.0,1.33,0.0,Plasterers and Stucco Masons,Construction and Extraction
47-2171.00,Reinforcing Iron and Rebar Workers,1.2,3.68,1.33,1.0,2.24,7.0,6.0,1.15,0.0,Reinforcing Iron and Rebar Workers,Construction and Extraction
47-2181.00,Roofers,1.24,3.41,1.55,1.0,1.2,7.0,6.0,1.48,0.0,Roofers,Construction and Extraction
47-2211.00,Sheet Metal Workers,1.64,3.57,1.0,1.0,2.06,7.0,6.0,1.0,0.0,Sheet Metal Workers,Construction and Extraction
47-2221.00,Structural Iron and Steel Workers,1.45,3.55,1.26,1.0,2.8,7.0,6.0,1.18,0.0,Structural Iron and Steel Workers,Construction and Extraction
47-2231.00,Solar Photovoltaic Installers,1.35,4.06,1.68,1.0,2.65,7.0,6.0,1.28,0.0,Solar Photovoltaic Installers,Construction and Extraction
